Name,Primary Category
Apple News,News Services
Apple Movement Disorder,Health
Apple MapKit JavaScript,Mapping
Apple Music,Music
Apple Metal,Games
Microsoft Bing Maps,Mapping
Bing,Search
Hearthstone Card,Games
Microsoft Health Cloud,Health
Microsoft Azure Cognitive Services Immersive Reader,Education
Google Maps,Mapping
Google Cloud Translation,Translation
Google Custom Search,Search
Google Cast Game Manager,Games
FileMaker Data,Database
Office 365 Service Communications,Office
Google Plus,Social
Google Cloud Print,Office
Google Mirror,Cloud
Google Cloud OS Login,Cloud
Google Firebase Realtime Database,Database
Google Classroom,Education
Amazon Redshift,Database
Amazon Web Services CodeBuild,Cloud
Amazon Maps,Mapping
Amazon GameOn Game,Games
Alibaba Cloud Gateway,Cloud
Alibaba Cloud BOA,Cloud
Facebook Broadcast,Social
Facebook,Social
